CspProjectId,Type,Context,CriteriaCloudAccounts,CriteriaRules
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,77539374103,4150dadf-2f01-4c51-84d4-c22adf5b62f8
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,18bd422d-6d42-443e-aba3-7feaea03617a
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25f67a550e1fb6560bd0
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25ec7a550e1fb6560bbe
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,31686868338,7076b215-64de-443c-a49b-4eb2030019d8
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25f77a550e1fb6560bd3
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c26497a550e1fb6560c4b
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,2934feef-113b-47ea-8583-9b5e1190f992
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,82176615813,5c8c25f77a550e1fb6560bd3
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25f67a550e1fb6560bd0
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25f77a550e1fb6560bd3
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,db0e95af-f146-44a6-88a1-ed6614193912
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,d9daf307-56b9-430b-8d4d-03115c690465
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,282706844260,5f034e02-36b2-490c-943b-62f49393cb00
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25f77a550e1fb6560bd3
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,82176615813,5c8c25f77a550e1fb6560bd3
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25f67a550e1fb6560bd0
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,cf6babbf-49c0-43a8-93f0-972fc83a6573
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,31686868338,5c8c25f67a550e1fb6560bd0
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,77539374103,5f034e02-36b2-490c-943b-62f49393cb00
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,77539374103,5c8c25f67a550e1fb6560bd0
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,1d187035-9fff-48b2-a7c3-ffc56a4da5e6
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25ec7a550e1fb6560bbe
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,db845ddf-dd7d-41bc-813d-06fffc19c12b
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25ec7a550e1fb6560bbe
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,77539374103,5c8c25f77a550e1fb6560bd3
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,1d187035-9fff-48b2-a7c3-ffc56a4da5e6
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,77539374103,4150dadf-2f01-4c51-84d4-c22adf5b62f8
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,77539374103,5c8c25f77a550e1fb6560bd3
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25f67a550e1fb6560bd0
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,ab17b9a8-c319-40ee-9c0d-3c18293a4895
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25fb7a550e1fb6560bd8
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c26497a550e1fb6560c4b
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25f67a550e1fb6560bd0
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,82176615813,5c8c25f77a550e1fb6560bd3
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25f67a550e1fb6560bd0
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25f37a550e1fb6560bca
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,407817304807,bdc54b11-ece6-44b4-92a6-2bd3783fd0f2
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c26497a550e1fb6560c4b
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,863b0eee-b193-11eb-8529-0242ac130003
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,ab17b9a8-c319-40ee-9c0d-3c18293a4895
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,4150dadf-2f01-4c51-84d4-c22adf5b62f8
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25ec7a550e1fb6560bbe
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,ab17b9a8-c319-40ee-9c0d-3c18293a4895
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25ec7a550e1fb6560bbe
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25ec7a550e1fb6560bbe
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25ee7a550e1fb6560bc3
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25f67a550e1fb6560bd0
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25f77a550e1fb6560bd3
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25f67a550e1fb6560bd0
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,2934feef-113b-47ea-8583-9b5e1190f992
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,77539374103,5c8c25f67a550e1fb6560bd0
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,77539374103,5c8c25f67a550e1fb6560bd0
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,1d187035-9fff-48b2-a7c3-ffc56a4da5e6
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,cccdf6ca-3d4b-48c6-96bf-12894cfa5624
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25f77a550e1fb6560bd3
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,0a61290a-194b-451d-8aaf-f8e63280f279
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,fa29cb64-9f8d-4625-a167-a9acf14d4b80
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,ce603728-d631-4bae-8657-c22da6e5944e
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,e60ca6e7-479b-4840-9075-5ece35c7cb3c
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,1d187035-9fff-48b2-a7c3-ffc56a4da5e6
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,82176615813,084348fa-552d-4828-ba91-9c0e95d26c57
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25f77a550e1fb6560bd3
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,aae0bb31-a2e8-4256-8e05-cf9a7edb33ac
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,277921370783,5c8c25f37a550e1fb6560bca
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,e60ca6e7-479b-4840-9075-5ece35c7cb3c
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,ab17b9a8-c319-40ee-9c0d-3c18293a4895
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,1d187035-9fff-48b2-a7c3-ffc56a4da5e6
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c26497a550e1fb6560c4b
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,1d187035-9fff-48b2-a7c3-ffc56a4da5e6
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,31686868338,5c8c25f77a550e1fb6560bd3
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,77539374103,5c8c25f77a550e1fb6560bd3
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,4e00da2c-b031-41be-806d-2795444e4196
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25f67a550e1fb6560bd0
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25ee7a550e1fb6560bc3
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c264a7a550e1fb6560c4c
